,level_0,,y,frame,index,treatment,cno,plexi_x,plexi_y,plexipixwidth,pixpermm,startframe,numframes,minframebef,peakframe,aroundpeakframes,fixind,goodbad,marker,rat,file,frame_md,time
47,47,-30.08442622825057,-19.87467220380032,47,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,47,0.188
48,48,-30.188524588901956,-19.77886325112673,48,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,48,0.192
49,49,-30.29262294955334,-19.66990222182801,49,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,49,0.196
50,50,-30.39672131020473,-19.564143438540075,50,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,50,0.2
51,51,-30.500819670856114,-19.40174707249496,51,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,51,0.204
52,52,-30.6049180315075,-19.243445639277528,52,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,52,0.208
53,53,-30.709016392158887,-19.07891550320517,53,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,53,0.212
54,54,-30.81311475281027,-18.918705856818423,54,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,54,0.216
55,55,-30.91721311346166,-18.747903600199887,55,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,55,0.22
56,56,-31.021311474113045,-18.587625120507127,56,0,inhib,no,1632,346,61,9.606299213,0,1000,670,696,200,0,good,Wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv,56,0.224
