scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
77,1310.439453,394.6337891,0.935083866,1268.225342,564.2259521,0.847905219,1429.198608,642.8917236,0.623641849
78,1302.555176,400.8894653,0.928368807,1252.788452,569.4481812,0.794011652,1392.97937,647.7715454,0.576608896
79,1293.584229,405.431366,0.95228231,1231.049927,576.4208984,0.766595066,1366.016602,661.1408081,0.805144906
80,1285.537354,408.9979248,0.938266397,1213.938599,577.291687,0.772486448,1345.1427,669.7821655,0.803147793
81,1276.547363,413.8018799,0.965448141,1192.385986,583.4927979,0.716902673,1324.488281,682.4922485,0.849437118
82,1265.722168,419.1687927,0.964356542,1175.542725,584.4172363,0.749686897,1305.152222,688.9332886,0.88231051
83,1259.605225,421.6616821,0.961991072,1161.475342,585.7592773,0.727147222,1287.839111,697.7028809,0.628377497
84,1250.25,422.4025574,0.94001317,1149.319336,580.2150269,0.633879006,1272.190918,698.87677,0.188794911
85,1244.273438,423.5681152,0.906453967,1141.536255,579.803894,0.807616353,1269.360718,701.5285645,0.044746131
86,1242.044434,425.0304871,0.911746323,1131.731201,578.6027832,0.709917605,1100.950195,688.1168213,0.012367785
87,1237.864014,427.2501221,0.861566782,1129.61792,578.5455933,0.722385585,1143.801758,574.0947266,0.010809541
88,1241.513306,433.3533936,0.893280029,1130.07959,578.9918213,0.71447134,1605.476074,265.9408569,0.072886825
89,1232.255615,437.1948242,0.815982223,1130.470825,580.868103,0.656052351,1098.500366,690.4841919,0.013854593
90,1243.335327,441.8234558,0.8761428,1131.869385,589.4474487,0.63326931,1604.502197,267.0097656,0.043066084
91,1243.236938,444.2919006,0.867406368,1138.663818,594.4573975,0.716215789,1603.9375,267.6846008,0.157903433
92,1240.850952,451.177948,0.747695208,1143.254639,601.8187256,0.818377018,1608.100342,265.4018555,0.168010563
93,1245.933105,456.2541504,0.816287756,1147.103638,608.0791626,0.737443209,1604.993774,269.1292725,0.031318605
94,1253.317749,460.3605957,0.822015762,1149.760376,609.2579956,0.764808893,1255.934692,469.9056396,0.0186387
95,1256.484375,462.6017456,0.872316957,1156.464478,609.659729,0.828392565,1252.032959,470.608551,0.008979321
96,1250.150757,469.1550903,0.800733566,1157.374756,610.4651489,0.856351614,1609.914551,268.8965759,0.039088249
97,1251.175171,466.4934387,0.802562714,1157.649414,611.512085,0.818044543,1252.302612,471.3963013,0.007168472
98,1245.768311,468.8092041,0.853517234,1157.915283,611.5897827,0.794382989,1419.59021,415.4933167,0.009057224
99,1246.421021,471.4278259,0.818456411,1157.456665,610.7263794,0.842796624,1245.866821,485.2829895,0.005507231
100,1241.821411,473.8332825,0.844462395,1157.147827,610.1775513,0.845962405,1243.500366,486.0802307,0.009278268
101,1238.5979,473.6826477,0.913026214,1155.601074,609.7669067,0.821799815,1452.792603,47.26030731,0.01315102
102,1237.062866,474.147644,0.931398988,1154.187622,609.305603,0.803820491,1440.809204,49.20536804,0.02521956
103,1233.122925,474.056488,0.882373095,1154.284912,609.0974121,0.835702538,1229.849854,474.1035461,0.00647825
104,1230.938354,471.4082947,0.843118131,1149.332153,609.4423828,0.81195724,1438.6875,64.59643555,0.01884982
105,1227.253174,472.3580933,0.876569331,1148.904663,610.0046997,0.862880111,1435.710083,67.02319336,0.027697116
106,1223.423828,475.0528259,0.925253749,1147.021484,609.8782349,0.83597821,1225.89563,485.8058777,0.016080469
107,1217.080322,477.5439758,0.91390276,1143.474731,610.7705688,0.828572333,1219.4198,487.9352112,0.00665009
108,1214.522827,481.831604,0.925051093,1140.208984,610.7244263,0.807835579,1434.077393,81.93312836,0.004070759
109,1212.272583,483.4110413,0.938554227,1139.603394,610.4886475,0.805437088,1146.384033,606.8775024,0.005215585
110,1210.131958,482.1482544,0.861067653,1138.78186,611.0753174,0.836703181,1210.939453,487.1390686,0.007069975
111,1210.067017,484.0087585,0.898546159,1137.688477,611.3600464,0.800912023,1210.017334,487.9410706,0.007888675
112,1209.175415,482.0114136,0.89131546,1132.814331,612.171875,0.768710017,1209.644775,478.3392639,0.009988606
113,1206.287109,484.1207581,0.887532294,1132.266602,612.128418,0.762873769,1210.121704,479.7680664,0.008407623
114,1205.232178,482.7526855,0.899038553,1131.949951,612.2871704,0.758142471,1208.728027,478.5661926,0.007284224
115,1204.731079,484.0357971,0.918034673,1131.718018,611.5651245,0.745663404,1209.533081,488.4548645,0.006582737
116,1206.278198,480.7565308,0.865093648,1131.843262,611.4525757,0.775137067,1209.739502,487.3059082,0.009918869
117,1205.496338,481.9801636,0.892656803,1131.602783,611.3899536,0.783281922,1621.583984,283.3711243,0.021781862
118,1203.782471,482.1825867,0.869070888,1131.738037,611.4660645,0.806755185,1207.727539,478.1878662,0.006326467
119,1204.911255,478.1257935,0.876539588,1131.178711,611.0587769,0.769015193,1189.291626,672.8366699,0.00749135
120,1201.15332,481.0046387,0.886597633,1130.503296,611.9067383,0.761100709,2026.234375,33.27297592,0.006698102
121,1199.50647,482.1786804,0.892084241,1130.148315,610.9708252,0.763913631,2024.502686,29.98146629,0.011183798
122,1197.470215,482.9663086,0.926298916,1128.408813,611.1859741,0.743379951,2024.212158,29.54647446,0.01642108
123,1196.254395,487.5617981,0.949960351,1128.23877,610.7062988,0.768739998,1238.364258,48.1293335,0.054709017
124,1195.177002,488.6766663,0.9458673,1127.641357,611.2904053,0.800947011,2024.543945,30.52562523,0.042079836
125,1193.427124,488.1242981,0.940665126,1127.455566,610.833252,0.783088326,2024.353882,30.77879524,0.037763
126,1193.747192,487.9015808,0.926824093,1126.943237,611.3936157,0.778635681,2023.727783,30.70905113,0.014075041
127,1190.458008,487.4291077,0.902032733,1126.033691,611.2011719,0.760997951,1252.507446,62.79662704,0.025807947
128,1190.945435,491.9606628,0.765882909,1125.036743,611.7324829,0.748540342,1238.088989,59.28313065,0.006522715
129,1187.887817,493.8822327,0.710300803,1124.117798,610.9879761,0.784314215,1186.80188,674.4012451,0.033015609
130,1185.904541,493.8240051,0.85970974,1121.78833,611.6135254,0.75826633,1186.80835,671.109314,0.067087173
131,1186.591797,497.3264465,0.859151781,1115.989502,616.9451904,0.810998619,1189.080688,673.8248291,0.022153467
132,1187.548462,500.2808838,0.628156722,1115.337402,617.7727661,0.81662482,1127.899536,608.039856,0.00364846
133,1187.065918,500.5675354,0.607131124,1114.003052,617.8369751,0.798044205,1108.134521,617.9169922,0.006321847
134,1185.26123,501.9755554,0.387643844,1113.712891,618.5184937,0.831628919,1107.422485,618.1242065,0.008335054
135,1188.649292,504.6950073,0.445102632,1113.464233,618.383606,0.778770506,1107.182739,618.2871094,0.009343535
136,1195.4198,510.2494812,0.695526779,1113.631714,619.8989868,0.838354826,1107.708862,618.8203125,0.007560849
137,1191.344238,505.0615845,0.581812382,1114.407959,619.9514771,0.824600637,1107.825806,619.0562744,0.005967915
138,1195.288208,510.0656433,0.585305572,1115.605835,620.5905762,0.843654692,1612.137085,378.292572,0.004320294
139,1191.887573,501.1479797,0.446252197,1116.122925,620.9509277,0.854880571,1610.867188,378.8723145,0.003957242
140,1196.78418,506.2037048,0.402921915,1116.751587,620.6019287,0.819176555,1107.817871,619.6119995,0.006345451
141,1197.628906,509.4353638,0.566478312,1117.472534,621.7038574,0.841620862,1737.806763,234.8971863,0.007190287
142,1194.355835,503.5855103,0.798297822,1117.361084,620.7737427,0.808172166,1608.88208,370.100769,0.010038197
143,1195.199829,502.3526306,0.831490517,1117.679932,621.3442383,0.811362624,1610.907471,367.3782654,0.004674941
144,1197.402222,500.0157471,0.591367841,1117.334229,620.1431885,0.771836638,1131.202271,609.7944336,0.003821462
145,1198.934082,509.2429504,0.438371897,1118.454712,620.1254883,0.747970402,1121.12207,619.9788818,0.003800482
146,1202.602783,512.5239868,0.082998276,1121.99292,619.1947632,0.734421015,1740.003784,220.840683,0.010167986
147,1203.153198,511.3695068,0.210312277,1122.173584,621.8788452,0.687385917,1121.183472,620.065918,0.003811121
148,1204.140259,509.6953125,0.654254436,1121.83374,621.0410767,0.725539386,1121.560669,619.9884644,0.005100042
149,1201.87561,515.854187,0.712714374,1122.579956,623.1264648,0.734863162,1129.074219,621.8376465,0.006106496
150,1202.20874,506.3930664,0.796357334,1122.222412,623.9956055,0.738228619,1738.302002,196.4733582,0.010836244
151,1203.593872,517.2099609,0.666128457,1122.296509,624.5554199,0.74998641,1734.637817,186.419281,0.003924936
152,1204.727173,514.6409912,0.841488421,1123.509766,624.4337158,0.780000567,1697.887329,197.9349518,0.004098952
153,1206.140015,514.6151733,0.79569459,1123.607422,624.3833618,0.751874387,1738.86731,180.5406799,0.01145339
154,1206.405518,514.5509033,0.845115185,1123.866699,625.5820313,0.711720943,1739.358398,178.4518585,0.013554722
155,1208.853516,515.4686279,0.774439454,1124.582397,626.3512573,0.751393914,1740.483887,178.0501404,0.017661661
156,1209.475586,515.7179565,0.673164248,1125.199951,627.7263794,0.778129458,1743.034546,178.817688,0.011173725
157,1209.368164,516.1049194,0.778730154,1126.143555,627.1707153,0.748757839,1741.754272,179.9684296,0.035167962
158,1211.32605,516.1185303,0.771315515,1126.733643,627.7619629,0.751724243,1741.526733,180.2581635,0.020848066
159,1210.571045,513.7321167,0.865131736,1128.148682,627.6000977,0.751991212,1749.145508,178.3206177,0.009425551
160,1213.473511,515.9175415,0.790476441,1128.444336,628.4121094,0.758636177,1743.99231,174.2774658,0.027409136
161,1214.811279,515.3567505,0.763864636,1128.387329,628.3374023,0.719034791,1134.036865,623.2384644,0.005874187
