scorer,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,1536.486083984375,345.6129455566406,0.8444724678993225,1461.629638671875,435.5918273925781,0.9164561033248901,1508.7764892578125,479.57342529296875,0.9365736246109009
37,1536.121826171875,346.00732421875,0.8376290798187256,1464.5147705078125,435.9392395019531,0.9362550973892212,1509.234375,479.3269348144531,0.939826488494873
38,1534.8577880859375,343.9742431640625,0.8318274021148682,1465.3603515625,435.4997253417969,0.9430661201477051,1509.3192138671875,479.5043640136719,0.9375735521316528
39,1534.596435546875,343.2996826171875,0.795704185962677,1465.8699951171875,435.1183776855469,0.9409005045890808,1509.69873046875,479.3936767578125,0.9380667805671692
40,1534.0267333984375,344.0795593261719,0.7951850891113281,1466.8876953125,434.857177734375,0.9441545009613037,1510.3406982421875,478.86590576171875,0.9398822784423828
41,1536.6920166015625,340.5491638183594,0.7854465246200562,1467.508056640625,434.72930908203125,0.9498734474182129,1510.3583984375,479.4530029296875,0.9352704286575317
42,1533.9019775390625,344.810791015625,0.7455216646194458,1467.854248046875,434.087646484375,0.9493192434310913,1511.0198974609375,478.5593566894531,0.9385213255882263
43,1528.1397705078125,354.1059875488281,0.6708730459213257,1467.6282958984375,433.7076416015625,0.9355586767196655,1511.1431884765625,478.43902587890625,0.9374270439147949
44,1536.6966552734375,340.4642639160156,0.7253403663635254,1468.145751953125,433.18603515625,0.9204262495040894,1511.68896484375,478.4064636230469,0.9346418380737305
45,1536.4024658203125,340.8179626464844,0.6573693156242371,1467.91552734375,432.42645263671875,0.907694935798645,1511.14697265625,479.18023681640625,0.9352407455444336
